Ia,Ib,Ic,Va,Vb,Vc,G,C,B,A,Fault_Code,Fault_Type
-0.03710461137908572,0.8769892152292718,-0.8454310123343908,0.36771307179182977,-0.013235484512591926,-0.34030772066296017,0,1,1,0,0110,LL Fault
0.3631953135586893,0.6215611196503429,-0.988898151349158,0.09009020499829712,-0.043603951730817964,-0.03100407131697451,1,1,1,1,1111,LLLG Fault
-0.04516471599173899,-0.4188070685540028,0.4623321258697911,-0.8006118265158123,-0.07350619813154535,0.8925290523827629,0,1,1,0,0110,LL Fault
-0.012576555526587046,-0.8422467083450702,0.8543917493457638,-0.041235141127296183,-0.012371375777881338,0.06884417903139023,0,1,1,1,0111,LLL Fault
-0.2940175620295368,0.9731029679800263,0.04562373175414162,0.07018349003962954,-0.23763479325440928,0.18666829247913377,1,0,1,1,1011,LLG Fault
0.9531856957257476,-0.7284749424179952,-0.2171270480836135,0.03317300527993511,-0.08066724528361002,0.06383065171799432,0,1,1,1,0111,LLL Fault
0.35016440751839034,-0.9808405705507943,0.6315005664802785,-0.02510228125348901,-0.03777680078923543,0.07855608154278364,1,1,1,1,1111,LLLG Fault
0.044379088424032806,-0.8206054446268436,0.7767250074379713,0.0031341368868631515,0.009579705094307622,0.0019896343563752528,0,1,1,0,0110,LL Fault
0.9646473122201713,-0.3122842268378981,0.0008185901513513005,0.06519881024840245,-0.5546064973854213,0.5146529116114001,1,1,1,1,1111,LLLG Fault
-0.02946648539368226,-0.007708111279148387,0.02818772286665093,0.8820078643988624,-0.8136789029911339,-0.04033294165420863,0,0,0,0,0000,No Fault
-0.07543843733666711,0.048274054596464465,0.01758797802557175,0.2206085254283094,-0.9217664075114262,0.7329585098670048,0,0,0,0,0000,No Fault
0.45711479338926303,-0.014179332227974968,0.040465153780572846,0.527760107646822,-0.9887122984791246,0.49320890765482633,1,0,0,1,1001,LG Fault
0.3728322370813208,0.6040474403786599,0.05393022441977305,0.09027920743352857,-0.5486314968069115,0.48341763997330883,1,0,1,1,1011,LLG Fault
0.9896146698170244,0.06153312776084558,-0.005056149994750408,-0.042374596124822916,-0.4043307512100266,0.4693840574268827,1,0,0,1,1001,LG Fault
-0.8268109505862976,0.08877278946531064,0.7257725476415915,0.03646526284546817,0.027090317454182063,-0.049272761058277555,1,1,1,1,1111,LLLG Fault
-0.0958711552400474,0.0529891536127305,0.03255711829383231,0.7065814605055544,-0.1235844931178096,-0.5676314563935885,1,0,1,1,1011,LLG Fault
-0.06407579208037013,0.8290072698031067,-0.7705284312435463,-0.012355718026039603,-0.044665142609096875,0.07279478361049688,0,1,1,0,0110,LL Fault
0.060115444330788685,0.00773020364679951,-0.07649083517215215,0.25629497019090663,0.7107426531053138,-0.9663109545190884,0,0,0,0,0000,No Fault
-0.38591779334742593,0.985646535420315,-0.6091695319939422,0.0653088596554221,0.007812013262249836,-0.05854868940191088,0,1,1,1,0111,LLL Fault
